loan_id,age,employment_years,existing_emi,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,58,27,68631,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Approved
2,55,20,0,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Rejected
3,45,13,53152,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Rejected
4,34,13,0,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Rejected
5,43,21,0,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Rejected
6,48,20,99029,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Rejected
7,55,28,48986,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Approved
8,45,21,69818,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Rejected
9,25,3,4195,800000,2200000,20,782,1300000,800000,2800000,600000,Approved
10,31,7,21761,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Rejected
11,39,18,0,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Approved
12,53,23,0,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Rejected
13,40,17,95091,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Rejected
14,60,26,223079,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Approved
15,45,15,38508,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Rejected
16,52,18,20174,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Approved
17,31,5,0,500000,1600000,4,663,1300000,100000,1300000,700000,Approved
18,43,9,0,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Approved
19,40,12,0,2700000,10300000,10,736,1000000,0,6200000,3300000,Approved
20,40,18,101363,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Approved
21,37,17,0,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Rejected
22,37,9,88477,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Rejected
23,48,18,94110,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Rejected
24,29,11,0,500000,1400000,2,551,900000,600000,1100000,300000,Approved
25,36,15,98999,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Rejected
26,35,4,0,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected
27,58,26,0,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Approved
28,48,17,0,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Approved
29,48,19,0,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Rejected
30,35,16,85335,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Approved
31,48,26,0,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Rejected
32,40,8,0,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Rejected
33,38,4,8376,800000,1600000,10,436,700000,200000,2200000,1000000,Rejected
34,48,25,0,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Approved
